DE:10,10,10;9,10,8;4,6,3;7,10,4;9,5,8;9,4,7;10,10,7;8,10,4;10,10,8;
EDA:3,9,4;4,9,5;3,7,5;2,7,3;3,9,3;3,9,3;2,8,6;2,7,4;3,7,3;
EP:2,2,2;3,3,0;7,3,8;8,2,8;10,3,10;5,3,5;7,3,10;4,3,0;5,3,4;
ES:8,4,8;7,4,8;8,4,7;5,4,5;5,4,5;6,5,7;6,4,6;8,4,7;5,4,7;
GA:5,2,5;6,3,4;7,3,6;5,3,6;5,3,5;7,3,6;5,4,5;6,3,7;6,3,5;
GSO:10,10,10;10,10,10;5,10,4;10,9,10;6,10,6;7,10,5;7,9,9;7,9,6;8,8,6;
HS:9,2,9;9,2,9;10,2,10;9,2,9;7,2,9;8,2,10;9,2,10;10,2,10;8,2,9;
ICA:4,9,2;5,9,2;5,10,4;4,10,2;6,10,6;6,10,6;6,10,4;4,10,2;8,10,8;
ISA:3,7,2;4,7,3;4,9,3;4,7,4;4,9,4;4,10,3;5,10,2;4,9,3;4,9,4;
TLBO:10,5,10;7,3,6;9,3,7;6,2,6;8,3,7;8,3,6;8,2,6;7,3,6;9,3,6;
BB_BC:0,3,0;0,4,4;2,5,2;0,4,0;0,4,0;2,5,4;2,3,5;0,4,5;2,4,2;
BH:7,6,7;6,6,6;6,6,8;5,7,7;3,7,3;5,7,9;5,6,8;6,6,7;6,8,10;
CSS:4,4,4;2,2,4;0,2,0;9,5,9;8,2,8;0,2,0;0,4,0;9,2,9;0,2,0;
GSA:2,5,3;2,6,7;0,6,0;2,6,2;0,6,0;0,5,0;0,6,0;2,6,8;0,6,0;
MVO:9,8,9;5,9,0;7,9,6;6,8,6;5,8,6;6,7,8;4,6,2;5,8,2;5,8,9;
ACA:2,0,3;3,0,3;3,0,4;2,0,2;2,0,2;3,0,2;3,0,4;3,0,4;3,0,3;
ABC:6,4,7;8,5,9;9,5,9;8,5,8;10,5,10;9,6,9;9,5,9;9,5,9;10,5,10;
GWO:6,8,6;10,8,10;10,9,10;10,6,10;8,7,8;10,7,8;9,8,7;10,9,10;7,10,5;
PSO:6,8,6;6,8,6;5,8,6;3,9,4;3,9,3;4,9,4;4,8,3;3,7,3;4,7,4;
WOA:8,7,8;10,7,10;10,8,10;10,8,10;10,8,10;10,8,10;10,7,10;10,7,10;10,6,10;
