EIS_Point_Seq,Average,Variance
1,0.180144922621931,0.2320986843549037
2,0.24886416722025853,0.25222073336014783
3,0.22295909067231098,0.22260252188221785
4,0.20941665737922305,0.1836535926745865
5,0.21759810259227375,0.20996912225798364
6,0.17783768268399297,0.23732959466722542
7,0.14683247046352663,0.24235127505669088
8,0.11340983043532915,0.23303473573649966
9,0.10456283633368034,0.22663297470996321
10,0.06239970216588784,0.2207505614132745
11,0.07048239610964847,0.2188665187412029
12,0.07888354034985688,0.2464942491648813
13,0.0730689664918018,0.2077264949590465
14,-0.035597209225986255,0.21674772880886525
15,0.03472098004464156,0.29343940328227125
16,-0.056991354923329754,0.24849609641804168
17,0.03132675034429553,0.23177198088333967
18,0.033534543517029294,0.26225327188226766
19,-0.020304605285080532,0.2251176691447253
20,-0.022751279288918198,0.2315614830510779
21,0.1141252855961994,0.24657671996535674
22,0.06492518505739459,0.25161710616411775
23,0.05430887232983673,0.26762753583184273
24,-0.0002183211363495191,0.2571962402396584
25,0.01680313245360297,0.24977203577642176
26,-0.018831508421531237,0.22189152427165065
27,-0.026031506114360142,0.21763069487071515
28,-0.05189562293493662,0.23841532278276284
29,-0.01880156900345912,0.24942999318523695
30,-0.01920984735775289,0.2267686569208963
31,-0.14291466118905816,0.21867209299459675
32,-0.13464420423427115,0.24387733297108782
33,-0.13981447707799835,0.20645573822676633
34,-0.059959408870464595,0.26712118252610645
35,-0.25301395109377556,0.24229553479987212
36,-0.23908402415129784,0.27905170252658057
37,-0.2624292817871121,0.2746181252777258
38,-0.26285700856916383,0.31814456195774576
39,-0.2999057268023853,0.3223726621263946
40,-0.20995564200597625,0.2957310932817944
41,-0.2586789628460855,0.28805361045527333
42,-0.22647125184963807,0.3245347652825401
43,-0.294636986052428,0.31988150338257737
44,-0.3161406694076978,0.3562100421110019
45,-0.23532926764194162,0.2986924125820508
46,-0.23477214721557965,0.3315726021247913
47,-0.2990278815620358,0.3258001185636307
48,-0.2137023988562999,0.32751828410251616
49,-0.2566566602210318,0.23264440382662452
50,-0.30200064750325034,0.30400614313084406
51,-0.3443204245407869,0.30681453648330453
52,-0.21479160033216804,0.25578414932371935
53,-0.3039276514003412,0.3551694590014186
54,-0.14100469759837175,0.2704654208418869
55,-0.09932656473712026,0.24896388580187212
56,-0.19306332016769986,0.21819578297879147
57,-0.2915556544601969,0.21986952461012294
58,-0.25035787389483605,0.2231051408876227
59,-0.2616221486153599,0.23681255063637024
60,-0.28696617236344013,0.20439690304655317
61,-0.11022258214352386,0.14411319128880024
62,-0.27745004238370313,0.2371958524853192
63,-0.23475632503108126,0.19797734253665034
64,-0.24002332348808664,0.21185631842693398
65,-0.2146923010472255,0.15960248102940683
66,-0.19450780837337245,0.19799748056202215
67,-0.1127495442326246,0.16909881312364458
68,-0.24098108774960997,0.21863806913546233
69,-0.1201151043585394,0.2060895885273798
70,-0.08823429756616868,0.22265830955971866
71,-0.09128143935091895,0.20505683611389638
72,0.0018280771425989387,0.45159506608627886
73,0.13477276278338193,0.23498104433075667
74,0.1477752282307633,0.33911328057816453
75,0.2604617164362279,0.4038280110943027
76,0.360779537341704,0.31611659910808515
77,0.2330954626521393,0.2813261743552826
78,0.22939506906240495,0.33081732564054095
79,0.4979583658345172,0.4859891609497136
80,0.6917806051254985,0.5522499024550368
