EIS_Point_Seq,Average,Variance
1,1.5648646898830298,3.617249781875034
2,1.3891767372508756,2.6440837507985235
3,1.0363309898763429,0.7548260868481682
4,1.3151428329750368,2.0247496821592716
5,1.2086510688423695,1.678835249041556
6,0.9493517560143675,0.49100248357046133
7,0.9813371812512689,0.930305507454267
8,0.9531382068580974,0.6365168490840402
9,0.8444582738799816,0.46215057795902
10,0.7662072474663152,0.34423691586208044
11,0.8503874461785335,0.41240939575359076
12,0.981697183298759,0.5354680285510205
13,0.8524602010513762,0.569461976911104
14,1.0072367597165877,0.8398509205166445
15,0.9551468883443274,0.6744602586948235
16,1.2917092266739716,1.6119002477650928
17,1.2668653079766055,1.383440282513341
18,1.3556354584382098,1.5936110531164942
19,1.0509329578281228,1.0585515797555087
20,1.3423031738660256,2.028965333894909
21,1.0929816781689352,0.7950221096439867
22,1.3089684723682886,1.4428245178263823
23,1.0422459675586733,0.9481107417432076
24,0.9157837708473854,0.439642063004603
25,0.9523418642297768,0.6496305136332232
26,1.0002001717509104,0.8685197640485923
27,1.2613117466863026,1.470324960121136
28,1.0336560353667699,0.9897805272627083
29,1.1803358377041342,1.2768246621935495
30,1.422977150337004,2.482171974735365
31,1.549576800511604,2.619483446051769
32,1.5773613159426787,3.1484108269135582
33,1.4486941033658216,2.068201139643122
34,1.5077009904266945,2.617809212839323
35,1.462065430452143,2.2923218681019377
36,1.2422968374007572,1.6059811310410579
37,1.289866175369832,1.968791078165603
38,0.8706317975933433,0.5275624520257506
39,1.2771830860993616,1.580447702533455
40,0.8889777475691113,0.6980435909435337
41,1.2439840317199915,2.495560615028132
42,0.9790736685996202,0.9714338658197369
43,1.0589008970025104,0.8510563603169575
44,1.219439097457654,1.6212402614884418
45,1.0202998822326215,0.869407230653394
46,1.047262931346396,1.048999757008563
47,1.2808212279652706,1.2451989596795523
48,1.2282508157606276,1.1479143267732805
49,1.2924183191647471,1.666050087214746
50,1.2157662812087302,1.7934460715485845
51,1.782487781458187,2.7457198924884105
52,1.1891450989996752,0.9793486455330962
53,1.462419482418935,1.589763112275714
54,1.2989962215753181,1.3104490829838862
55,1.1715508336934644,0.8632479986823768
56,1.2959610221525961,1.7133282356723245
57,1.0355720501072883,0.699248454489705
58,1.1931141269458612,1.3844342402252268
59,1.1601322203106101,1.6068127634171538
60,1.193594972896845,1.4192818312740556
61,1.4541392281072807,2.551682504233326
62,1.0404510618459157,0.8626050994546262
63,1.0036628416892457,1.035505187752424
64,0.9496869674289256,0.954837462830125
65,1.2488429160912866,1.5535827904475996
66,1.0930028454019478,1.1379845136098956
67,1.3325141948536894,1.9378975465037052
68,1.0841408054630268,1.2970920142016484
69,1.3575567138654707,1.9048414996801937
70,1.0510551536019164,0.7339332521644945
71,1.118118135599578,0.8321508051658438
72,1.2561336082623746,0.8673528692891564
73,0.969343390513917,0.5938608445879453
74,1.316649330822201,1.0271878846137568
75,1.55608149349712,1.0856304145929492
76,1.3049896522677016,1.1627810806890109
77,1.814719579613404,1.6624192056583202
78,1.5221415864490135,1.0063651661815716
79,1.536158700051499,0.8448571704393577
80,1.3403147617731155,1.0508972414424318
