55,3-13,0.003535,1.21E-05,0.9814,174.6,4.27E-05,0.6065,4.82E+04,1.91E-03
56,3-14,4.51E-10,1.22E-05,0.9591,1640,8.27E-05,0.54,1.54E+04,9.42E-03
57,3-15,5.43E-30,0.00002005,0.91,2.01E+03,3.67E-04,0.7,47900,0.008958
58,3-19,8.75E-12,5.38E-05,0.8802,64.08,0.0001823,0.7597,2.95E+04,9.76E-03
59,3-20,3.06E-07,1.19E-05,0.9736,18.12,7.21E-05,0.6946,6.27E+04,1.71E-03
60,3-21,5.69E-11,1.13E-05,0.9456,376.9,9.86E-05,0.7872,3.97E+04,6.35E-03
61,3-22,2.19E-20,5.39E-05,0.8608,19.21,6.12E-05,0.8653,2.13E+04,4.76E-03
62,3-23,3.63E-08,1.58E-05,0.9276,49.28,6.14E-05,0.6572,3.78E+04,1.71E-03
63,3-25,8.70E-08,1.53E-05,0.9321,83.81,7.91E-05,0.7431,2.18E+04,6.69E-03
64,3-26,1.50E-09,3.01E-05,0.9079,29.28,6.45E-05,0.7223,2.80E+04,8.91E-04
65,3-27,1.27E-08,1.87E-05,0.9189,11.95,6.39E-05,0.7253,2.45E+04,5.26E-03
66,3-29,4.07E-09,4.02E-05,0.8671,9.102,8.80E-05,0.7203,2.76E+04,2.33E-03
67,3-30,0.007044,3.13E-05,0.8988,9.119,7.01E-05,0.798,2.73E+04,6.78E-03
68,3-31,3.06E-07,4.02E-05,0.8932,5.846,0.0001089,0.7838,3.14E+04,3.01E-03
69,3-32,0.004539,6.95E-05,0.8589,4.301,4.30E-05,0.8602,3.10E+04,1.63E-03
70,3-33,5.01E-12,9.95E-05,0.7988,213.9,1.03E-05,0.8781,2.33E+04,3.01E-03
71,3-34,0.005928,9.80E-05,0.8226,17.29,3.46E-05,0.886,2.61E+04,6.16E-03
72,4-1,9.25E-08,1.23E-05,0.9806,698.6,3.41E-05,0.727,3.54E+04,4.18E-03
73,4-2,0.001038,2.19E-05,0.9613,101.3,0.0001232,0.6257,5.18E+04,1.63E-03
74,4-3,0.007218,1.86E-05,0.9551,47.93,8.55E-05,0.7421,3.09E+04,5.88E-03
75,4-4,2.09E-06,1.14E-05,0.9866,586.1,3.63E-05,0.7015,2.98E+04,6.03E-03
76,4-5,0.004833,1.31E-05,0.978,269.7,4.06E-05,0.7207,3.78E+04,5.15E-03
77,4-6,1.30E-08,1.45E-05,0.933,3947,2.95E-05,0.6125,5.72E+04,6.64E-03
78,4-7,3.35E-09,1.72E-05,0.9457,417.1,4.14E-05,0.6475,7.31E+04,2.14E-03
79,4-8,0.008884,2.42E-05,0.9432,145.7,6.16E-05,0.6984,3.84E+04,3.00E-03
80,4-9,2.67E-14,2.03E-05,0.9233,1414,3.28E-05,0.7432,3.46E+04,1.39E-02
81,4-10,0.006838,1.56E-05,0.9432,134.8,9.63E-05,0.6765,4.30E+04,1.56E-02
82,4-11,5.19E-08,8.05E-06,0.9815,506.3,2.29E-05,0.7543,4.85E+04,4.43E-03
83,4-12,6.40E-27,1.31E-05,0.946,124,6.49E-05,0.6455,5.18E+04,4.63E-03
84,4-14,3.14E-08,1.74E-05,0.9166,32.83,9.63E-05,0.7339,1.99E+04,3.33E-03
