1000,1,0.800963323
1000,0.1,0.728843239
1000,0.01,0.744437469
1000,0.001,0.750038826
1000,0.0001,0.750038826
1000,0.00001,0.750038826
3000,1,0.763082594
3000,0.1,0.764557089
3000,0.01,0.66160876
3000,0.001,0.779420093
3000,0.0001,0.750038826
3000,0.00001,0.750038826
5000,1,0.772839555
5000,0.1,0.769161263
5000,0.01,0.69774104
5000,0.001,0.763675701
5000,0.0001,0.750038826
5000,0.00001,0.750038826
7000,1,0.765155359
7000,0.1,0.797121447
7000,0.01,0.721679899
7000,0.001,0.761870179
7000,0.0001,0.750038826
7000,0.00001,0.750038826
9000,1,0.767983113
9000,0.1,0.808327727
9000,0.01,0.727697821
9000,0.001,0.729323338
9000,0.0001,0.750038826
9000,0.00001,0.750038826
