True_Label,Predict_Label
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,8
4,4
4,7
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,7
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,6
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,7
4,4
4,4
4,4
4,4
4,5
4,4
4,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,6
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
5,6
5,4
5,5
5,5
5,4
5,5
5,7
5,4
5,5
5,5
5,5
5,5
5,4
5,4
5,5
5,5
5,5
5,5
5,5
5,5
5,7
5,4
5,5
5,7
5,7
5,4
5,4
5,4
5,4
5,5
5,4
5,4
5,5
5,7
5,6
5,5
5,4
5,4
5,5
5,4
5,4
5,4
5,4
5,5
5,5
5,5
5,6
5,5
5,4
5,5
5,5
5,4
5,4
5,4
5,5
5,5
5,4
5,5
5,4
5,5
5,4
5,5
5,4
5,4
5,5
5,4
5,5
5,5
5,4
6,5
6,5
6,6
6,4
6,4
6,4
6,4
6,4
6,5
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,6
6,4
6,5
6,6
6,4
6,4
6,4
6,5
6,4
6,4
6,4
6,8
6,5
6,4
6,4
6,5
6,7
6,6
6,6
6,5
6,7
6,5
6,5
6,4
6,4
6,4
6,4
6,4
6,4
6,8
6,5
6,4
6,5
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,4
7,8
7,4
7,4
7,4
7,4
7,4
7,9
7,4
7,4
7,8
7,4
7,4
7,9
7,4
7,4
7,4
7,4
7,4
7,4
7,5
7,5
7,4
7,4
7,8
7,8
7,4
7,4
7,4
7,4
7,8
7,4
7,7
7,8
7,4
7,4
7,5
7,4
7,4
7,4
7,4
7,6
7,5
7,8
7,4
7,4
7,4
7,8
7,4
7,7
7,4
7,4
7,4
7,7
7,7
7,4
7,4
8,8
8,9
8,8
8,4
8,4
8,4
8,4
8,4
8,8
8,4
8,5
8,8
8,5
8,8
8,4
8,7
8,8
8,8
8,8
8,4
8,4
8,4
8,6
8,8
8,8
8,8
8,8
8,8
8,8
8,4
8,8
8,4
8,8
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,2
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,4
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
2,9
2,2
2,9
2,9
2,9
2,9
2,9
2,4
2,9
2,9
2,9
2,9
2,9
2,9
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,5
5,6
5,4
5,4
5,5
5,4
5,4
5,5
5,5
5,4
5,4
5,4
5,5
5,5
6,4
6,5
6,4
6,5
6,9
6,7
6,4
6,4
6,7
6,6
6,4
6,4
7,4
7,4
7,6
7,4
7,6
7,4
7,8
7,5
7,4
7,5
7,4
7,4
8,4
8,4
8,4
8,4
8,4
8,8
8,4
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,2
9,9
9,9
2,4
2,9
2,9
