True_Label,Predict_Label
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,5
4,4
4,4
4,5
4,5
4,4
4,4
4,4
4,4
4,4
5,5
5,4
5,4
5,6
5,4
5,7
5,7
5,4
5,5
5,4
5,4
5,5
5,6
5,4
6,4
6,4
6,4
6,4
6,4
6,5
6,4
6,4
6,4
6,4
6,4
6,5
7,5
7,4
7,4
7,4
7,8
7,7
7,4
7,7
7,7
7,4
7,4
8,4
8,4
8,4
8,7
8,4
8,7
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,2
9,9
9,9
9,9
9,9
9,9
2,2
2,9
2,2
