Distance measure,K,Acc,Kappa
bc_d,1,0.5106382978723404,0.3810478099055253
bc_d,2,0.5,0.3502941176470588
bc_d,3,0.48936170212765956,0.3348076072534276
bc_d,4,0.5,0.35077149155033066
bc_d,5,0.4787234042553192,0.319645494830133
bc_d,6,0.46808510638297873,0.3040130312453725
bc_d,7,0.46808510638297873,0.3031875463306153
bc_d,8,0.4787234042553192,0.3107885680083795
bc_d,9,0.5106382978723404,0.3526946107784431
bc_d,10,0.48936170212765956,0.32797140303842715
bc_d,11,0.48936170212765956,0.32515704457074485
bc_d,12,0.5212765957446809,0.367901972504483
bc_d,13,0.5,0.33443808376016876
bc_d,14,0.5106382978723404,0.35133513351335127
bc_d,15,0.5106382978723404,0.34751773049645385
bc_d,16,0.4787234042553192,0.30496453900709225
bc_d,17,0.5106382978723404,0.34554260632662326
bc_d,18,0.5,0.33101150817686253
bc_d,19,0.48936170212765956,0.3176043557168784
bc_d,20,0.48936170212765956,0.31646720193910016
bc_d,21,0.5,0.3345383340864588
bc_d,22,0.5,0.32518710859935845
bc_d,23,0.5,0.32969200424821726
bc_d,24,0.5106382978723404,0.34225737754791596
cheb_d,1,0.4787234042553192,0.3451805516064828
cheb_d,2,0.4787234042553192,0.31722502223539883
cheb_d,3,0.4787234042553192,0.32631271025303504
cheb_d,4,0.5106382978723404,0.3632749226917979
cheb_d,5,0.48936170212765956,0.3338254835375756
cheb_d,6,0.48936170212765956,0.32313231323132313
cheb_d,7,0.4787234042553192,0.30975573205454826
cheb_d,8,0.46808510638297873,0.30028286437397644
cheb_d,9,0.5,0.3416778423483832
cheb_d,10,0.5106382978723404,0.3555886736214604
cheb_d,11,0.5,0.3388207123615684
cheb_d,12,0.5319148936170213,0.3816714008072955
cheb_d,13,0.5212765957446809,0.36761847809837045
cheb_d,14,0.5106382978723404,0.3523067705212702
cheb_d,15,0.5212765957446809,0.3650555388772141
cheb_d,16,0.5319148936170213,0.3757923332327196
cheb_d,17,0.5212765957446809,0.36083408884859486
cheb_d,18,0.5106382978723404,0.3471236599728219
cheb_d,19,0.48936170212765956,0.32048192771084333
cheb_d,20,0.5106382978723404,0.35084822098783963
cheb_d,21,0.5,0.33493903356917054
cheb_d,22,0.5,0.3332327195894959
cheb_d,23,0.4787234042553192,0.306742925948224
cheb_d,24,0.5,0.3323258274142361
cos_d,1,0.5,0.3693076374018558
cos_d,2,0.4787234042553192,0.31884057971014496
cos_d,3,0.4787234042553192,0.3082006608591169
cos_d,4,0.48936170212765956,0.33461141424568647
cos_d,5,0.5,0.3393150889786153
cos_d,6,0.5106382978723404,0.3495788206979542
cos_d,7,0.5319148936170213,0.377295995182174
cos_d,8,0.5,0.34304832713754646
cos_d,9,0.5106382978723404,0.3602603935493416
cos_d,10,0.5,0.34828145744210065
cos_d,11,0.5106382978723404,0.3552042946614971
cos_d,12,0.48936170212765956,0.3310600444773906
cos_d,13,0.48936170212765956,0.3291703835860838
cos_d,14,0.5,0.3439263439263439
cos_d,15,0.5106382978723404,0.3549157093838579
cos_d,16,0.48936170212765956,0.3265671641791045
cos_d,17,0.48936170212765956,0.3203795752372345
cos_d,18,0.48936170212765956,0.32007233273056057
cos_d,19,0.4787234042553192,0.3051742344244985
cos_d,20,0.4787234042553192,0.3034931196128838
cos_d,21,0.4787234042553192,0.30809674027339645
cos_d,22,0.4787234042553192,0.30275507114744177
cos_d,23,0.46808510638297873,0.2891712038717484
cos_d,24,0.46808510638297873,0.2919554082554986
dtw_d,1,0.5,0.3693076374018558
dtw_d,2,0.46808510638297873,0.297143711679378
dtw_d,3,0.4787234042553192,0.309341730394362
dtw_d,4,0.5,0.3386227544910179
dtw_d,5,0.5106382978723404,0.34474920442491286
dtw_d,6,0.48936170212765956,0.3170879370364765
dtw_d,7,0.48936170212765956,0.3170879370364765
dtw_d,8,0.48936170212765956,0.3130328867235079
dtw_d,9,0.4787234042553192,0.30169799878714376
dtw_d,10,0.5,0.3246713543258943
dtw_d,11,0.48936170212765956,0.31209025766122883
dtw_d,12,0.5,0.3309101923368166
dtw_d,13,0.5,0.3314164648910412
dtw_d,14,0.5212765957446809,0.3516247700797058
dtw_d,15,0.5106382978723404,0.3380281690140845
dtw_d,16,0.48936170212765956,0.30262751159196283
dtw_d,17,0.4787234042553192,0.28842885833462073
dtw_d,18,0.46808510638297873,0.27580893682588603
dtw_d,19,0.4787234042553192,0.2872175796966884
dtw_d,20,0.46808510638297873,0.27580893682588603
dtw_d,21,0.46808510638297873,0.2802450229709036
dtw_d,22,0.46808510638297873,0.2717694453052371
dtw_d,23,0.46808510638297873,0.27681181720264664
dtw_d,24,0.46808510638297873,0.27681181720264664
e_d,1,0.46808510638297873,0.33077032607147944
e_d,2,0.5,0.34866578210231464
e_d,3,0.5,0.3498160412067697
e_d,4,0.5,0.3502941176470588
e_d,5,0.48936170212765956,0.33822235259606925
e_d,6,0.5106382978723404,0.35721718448045187
e_d,7,0.5,0.34000597550044814
e_d,8,0.5106382978723404,0.35240377415006735
e_d,9,0.5,0.3441211401425178
e_d,10,0.5,0.3404985818778922
e_d,11,0.5106382978723404,0.35462686567164176
e_d,12,0.5212765957446809,0.3687509326966125
e_d,13,0.5319148936170213,0.3803745318352059
e_d,14,0.5425531914893617,0.393912130754236
e_d,15,0.5212765957446809,0.36676646706586824
e_d,16,0.5106382978723404,0.3531787584143604
e_d,17,0.5106382978723404,0.35414488424197166
e_d,18,0.48936170212765956,0.3249551166965889
e_d,19,0.48936170212765956,0.32211538461538464
e_d,20,0.5106382978723404,0.35045816433829047
e_d,21,0.5106382978723404,0.35172413793103446
e_d,22,0.48936170212765956,0.32303075768942235
e_d,23,0.48936170212765956,0.32170775706554416
e_d,24,0.48936170212765956,0.32119753272152846
em_d,1,0.32978723404255317,0.1949429037520391
em_d,2,0.3723404255319149,0.22843628269337785
em_d,3,0.44680851063829785,0.3038028770830366
em_d,4,0.4148936170212766,0.26635447708244636
em_d,5,0.425531914893617,0.2784648187633262
em_d,6,0.4148936170212766,0.265625
em_d,7,0.3723404255319149,0.19529889727219965
em_d,8,0.425531914893617,0.26434782608695656
em_d,9,0.39361702127659576,0.22189950624455418
em_d,10,0.43617021276595747,0.26746066754888986
em_d,11,0.44680851063829785,0.2806475349521707
em_d,12,0.4574468085106383,0.296551724137931
em_d,13,0.46808510638297873,0.30514488468361917
em_d,14,0.46808510638297873,0.3107493767414577
em_d,15,0.4574468085106383,0.29468883330881274
em_d,16,0.44680851063829785,0.28621495327102797
em_d,17,0.44680851063829785,0.2814934587681905
em_d,18,0.43617021276595747,0.26670591698557555
em_d,19,0.44680851063829785,0.28233739538981056
em_d,20,0.43617021276595747,0.267245183115164
em_d,21,0.43617021276595747,0.26594960954766467
em_d,22,0.43617021276595747,0.2637801093542191
em_d,23,0.44680851063829785,0.27884331661257006
em_d,24,0.48936170212765956,0.3310600444773906
