x_coor,y_coor,z_coor(Chi-Square)
0.0,0.0,0.02337059079350744
0.5,0.0,1.3522120582206028
1.0,0.0,0.07795151676883703
1.5,0.0,0.04166703380677385
2.5,0.0,4.040627521479464
3.0,0.0,0.347112618396319
3.5,0.0,0.23698302363323576
4.0,0.0,0.1708984681254146
4.5,0.0,0.12097872087766749
5.0,0.0,0.6750695412609565
5.5,0.0,0.5109389264686431
6.5,0.0,0.023068039784222016
7.5,0.0,10.201838633135205
8.5,0.0,27.29493804319961
9.0,0.0,1.1270167355782401
9.5,0.0,0.15464557763001033
10.0,0.0,0.7105966160241192
10.5,0.0,0.5999789997029809
11.5,0.0,0.740187852215413
12.0,0.0,0.6061687693586418
12.5,0.0,0.9000373163252675
13.0,0.0,0.3379012095766193
14.0,0.0,0.4900909702024933
14.5,0.0,0.1581889049521755
15.0,0.0,0.0391954454427342
15.5,0.0,0.2392706342507628
16.0,0.0,1.2619155158533693
0.3,0.458,0.2005751245065595
0.8,0.458,0.1341957108092667
1.3,0.458,13891082844.471136
1.8,0.458,0.17235068713704152
2.3,0.458,0.7070291215064813
2.8,0.458,6.609650519227077
3.3,0.458,1.8437984602744455
3.8,0.458,3.126191533294142
4.3,0.458,3.1237441470638028
4.8,0.458,0.8500483965008445
5.3,0.458,0.9132870474276273
5.8,0.458,0.432161894011002
6.3,0.458,0.11137596815292418
7.3,0.458,0.029336070117824062
7.8,0.458,0.3138196192725563
8.3,0.458,0.03336853774410016
9.3,0.458,0.010008363447733442
9.8,0.458,0.0033192209598534358
11.3,0.458,0.3138146456053447
11.8,0.458,25.47021430368574
12.8,0.458,0.12765420516229667
13.8,0.458,0.03316094297428361
14.3,0.458,0.25831709620644405
14.8,0.458,0.12744449092300694
15.3,0.458,0.14718436577822644
15.8,0.458,0.20752882034789388
16.3,0.458,0.2743317319075757
16.8,0.458,1.5199580188160842
0.1,0.917,0.8568429468410639
2.1,0.917,0.27605282023300165
2.6,0.917,0.09106724014477817
3.1,0.917,0.7316763177109727
3.6,0.917,0.26555576656122515
4.1,0.917,1.3263020659141094
4.6,0.917,0.9428028226911698
5.1,0.917,1.9230404546205468
5.6,0.917,0.28823743981656497
6.1,0.917,0.8288843431251829
6.6,0.917,1.3532733403906234
7.1,0.917,1.7986289028138618
8.1,0.917,0.027330435773416494
9.1,0.917,0.2427189358795557
9.6,0.917,0.22063992111116634
10.1,0.917,3.1363904123342707
10.6,0.917,0.20298428717711753
11.1,0.917,1.4360400771371624
11.6,0.917,0.14055476462154196
12.1,0.917,2.4322313796374018
12.6,0.917,0.10720629621008211
13.1,0.917,0.8761589977122273
14.1,0.917,0.33432413567287217
14.6,0.917,0.11019286206238307
15.1,0.917,0.12713954254204662
15.6,0.917,0.09454829463443129
16.1,0.917,0.46971624055254924
16.6,0.917,0.30339467078697047
0.4,1.375,0.8023793623076816
0.9,1.375,0.18635277881007803
1.4,1.375,1.0688762511682715
1.9,1.375,0.9134625209034686
2.4,1.375,1.6583477035994836
2.9,1.375,1.5672181298632875
3.4,1.375,1.1291848916737417
3.9,1.375,1.0796373246787
4.4,1.375,0.49233919093941136
4.9,1.375,1.620690660979861
5.4,1.375,2.699311209510281
5.9,1.375,1.0599564735354134
6.9,1.375,1.364907791424986
9.4,1.375,0.9926280698718554
10.4,1.375,0.13647930699250352
10.9,1.375,0.5989829727174578
12.4,1.375,0.11491384981294493
13.9,1.375,0.20755546467409206
14.4,1.375,0.04151571271192976
15.4,1.375,0.13823572432801218
16.9,1.375,0.07616094786418008
0.2,1.833,0.3328115068931711
0.7,1.833,0.2826507658778619
1.2,1.833,2.5971336476271967
1.7,1.833,0.4459067686918271
2.2,1.833,0.16169231971722864
2.7,1.833,5.885900902929883
3.2,1.833,14.649984945915786
3.7,1.833,8.275049172451372
4.2,1.833,9.255031576097187
5.2,1.833,10.14899302179388
5.7,1.833,6.797160716053656
7.7,1.833,3.618788390895392
8.2,1.833,0.17648686678316533
8.7,1.833,54.41158700914487
9.2,1.833,7.067828336244095
10.7,1.833,0.8159960903597181
12.7,1.833,4.65087761820401
13.2,1.833,0.31381798329266114
13.7,1.833,2.399065821768377
14.2,1.833,0.13176926738931313
15.2,1.833,0.2891733788994523
15.7,1.833,10.310517014973804
16.2,1.833,3.9104761050570374
