EIS_Point_Seq,Average,Variance
1,0.8539990078987245,0.29686591129532214
2,-0.27415495036376325,1.1407485892538847
3,0.5249870899193968,0.23308687047286866
4,-0.4348105709767863,0.7344195751376459
5,0.4362636181435168,0.39822154760961975
6,0.01328042322103674,1.026596928467418
7,0.4675104098357412,0.19580812896645527
8,-0.3143955502012295,0.9538620521230321
9,0.46501204715911315,0.33573052254163627
10,0.012659390940588131,1.0639422827253562
11,0.48979405911539525,0.3665984221701228
12,0.2158166127601232,0.7879467153757915
13,0.5584797066613204,0.31809731752985904
14,-0.1736758362877326,0.714511297016648
15,0.39433334893846705,0.28343488284924706
16,0.34038579822817444,0.768869534361965
17,0.7985280950558413,0.5057658191804824
18,-0.055019286628398924,0.7228264635347915
19,0.8086168532198176,0.5717524047729691
20,-0.21589523613453215,0.33400929865816265
21,0.7780241293747355,0.5040242721561192
22,0.2660899565194113,0.7010764451811773
23,0.7154394521848935,0.5788401736921597
24,0.11999241325635822,0.8291772961270515
25,0.9473989404705706,1.1248925543372237
26,-0.2975297215600938,0.7601769720386663
27,0.9529854482668586,1.0302899283562197
28,-0.22228355488203075,1.1205619829591613
29,0.9220193296870415,1.2717811651498225
30,-0.22658667723741013,0.6710290809906188
31,0.8026433572406664,0.7562710044810853
32,0.20723969838121184,0.7026730173069772
33,0.7947279361298849,0.9267833566022405
34,-0.5703022186326336,1.293401803666208
35,0.7574512980060658,0.4207931257997321
36,-0.3609441881214066,0.5422784393382336
37,0.6373942932944641,0.4166831195255927
38,-0.06017026055928879,0.8141611857364978
39,0.965492240221459,0.5270383349179375
40,-0.4929239900879394,0.6321622578998299
41,-0.28236511083290117,1.0333112733447347
42,0.5862816135850515,0.666637332801007
43,-0.04956507008613818,1.2655719205462805
44,0.1592892036904133,1.601020771549663
45,-0.11568750467956446,0.5329987952601567
46,0.5322176442374364,0.7151916694887417
47,0.006233420763727119,0.6375384083449257
48,0.20927072975618982,0.9815556757791232
49,-0.13038175521736306,0.4195552672371745
50,0.4859269828641114,0.5820007236356635
51,-0.1642751975553692,0.40291226995473406
52,0.21687640030835012,0.8167002959471198
53,-0.19148540355460797,0.3191432450636096
54,0.2890260958172399,0.7288661236091524
55,-0.36074982593986843,0.5089980275455761
56,0.1631671573899663,0.7704126023475464
57,-0.45229188840920453,0.35753852994672936
58,0.296973343490301,0.8475660547249351
59,-0.5410524044038272,0.46667562302736865
60,0.3198124838275807,0.7233662648442514
61,-0.5697074274189398,0.5079857318680396
62,-0.08205605918684783,1.3962600486182892
63,-0.6479078624414031,0.47108517254961924
64,0.07079569577013538,1.1501025597931467
65,-0.8862233928880803,0.6262132622155823
66,0.27025995539722497,0.8829444231490199
67,-0.7628128040934236,0.5133114296808056
68,-0.13229701976105146,1.169983745402169
69,-0.6604534393594681,0.5062391947189918
70,0.4364064891269989,1.0406263934953945
71,-0.5649645273705666,0.5016566751447195
72,0.31660174909819505,0.7575609910599336
73,-0.8466131570229917,0.613464834030825
74,0.0593361566421456,0.8356051652039169
75,-0.6351754204970971,0.5895820972515028
76,0.017987671189573506,0.8103535731341871
77,-0.508693196362959,0.7025924061761644
78,0.37248618623247837,2.57208024226043
79,-0.9220101907265041,1.1551748990024924
80,0.20112021883589284,1.651107731274989
81,-0.7658231010378419,0.954574003762105
82,-0.12263721622653091,1.5480273248335517
83,-0.8766546946755962,1.0692270305794183
84,-0.10049484702158744,1.8571447565375023
85,-0.7978187286658354,1.1372478917958246
86,-0.47408856275115124,1.2500306347010663
87,-1.1647734631536601,0.9545550968282452
88,-0.052932440514067765,2.658626839270801
89,-0.835883541203246,0.7332470136537501
90,-0.46542869603773235,1.8435851068232
91,-0.44488683651704586,0.6532984834620646
92,-1.0368731427285867,1.3775570821581065
93,-0.4947766629011218,0.5863740125102778
94,-0.7619106355005849,1.6084262921625196
95,-0.29195489417883136,0.576662893722993
96,-1.3830647861461949,2.0845553065866373
97,-0.03964704571090535,0.6453868614416498
98,-0.6843310451705505,1.9777758356138955
99,0.4295022929832808,1.0060760868388092
100,-0.8718016898921002,5.070351816208423
101,0.6014027368990672,0.9987047673688348
102,-1.364546078825422,2.4343264823856487
103,-0.6717460896283497,2.4760002973666593
104,-0.8083547329434562,1.0178760686710313
105,-0.402576950276965,2.3717948087380187
106,-0.7757234754591344,1.532863906054689
107,-0.03873390054223304,2.111206340904322
108,-1.323186644276592,1.4112702321455293
109,0.16736843028685147,1.738679382538355
110,-0.7744717399747736,1.2142855167764752
111,0.9631064156852305,0.8826921225042244
112,-1.8140344951256309,2.8241095900508477
113,1.1310888209755552,0.8161439242203568
114,-0.4750081624548184,1.1482705943685854
115,1.1576684144809366,0.8789362235354145
116,-0.5074851663773632,1.3838673462454645
117,0.9062739903799404,0.8720143202307308
118,-0.16936503289615015,1.4182927792553934
119,1.3569131479656724,0.9647440096548432
120,-0.8689320646207483,0.8827391695293026
121,1.3642145962188479,1.288940176181075
122,-1.8284168965796828,2.6263791706420743
123,1.186704184955751,1.1952127877962966
124,0.5337731708077753,5.220109863760122
125,1.125289470707407,1.1558923598203636
126,-0.5160976281580345,1.067355747708402
127,0.9189749143727041,0.8503724169555967
128,-0.4210086009226312,2.097121995889123
129,0.6854650512551523,0.9623494276061333
130,0.181171829027273,2.2973021621047853
131,0.4654436100779326,0.9742577277875267
132,-0.1939204084155685,0.9475809486007827
133,0.4904623471898125,0.9314564347691864
134,-1.2454916652256305,2.709686195288798
135,0.03824784661219704,1.136766703736112
136,0.9715375418830382,3.8507612215550324
137,0.3397978544547445,1.4972634012523889
